Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-11-22,1.7,1.88,1.4,1.88,4820
2019-12-02,1.8,1.8,1.64,1.8,1507
2019-12-06,1.79,1.93,1.79,1.93,2370
2019-12-09,1.9,1.9,1.9,1.9,100
2019-12-10,1.88,1.88,1.88,1.88,10
2019-12-11,1.88,1.88,1.88,1.88,10
2019-12-12,1.88,1.88,1.88,1.88,10
2019-12-13,1.88,1.88,1.76,1.88,694
2019-12-18,1.79,1.8,1.7,1.8,655
2020-01-02,1.78,1.85,1.6,1.84,4510
2020-01-13,1.8,1.8,1.6,1.77,6600
2020-01-16,1.77,1.8,1.77,1.8,300
2020-01-20,1.8,1.8,1.8,1.8,10
2020-01-27,1.77,1.77,1.6,1.73,2340
2020-01-28,1.73,1.77,1.73,1.77,910
2020-01-29,1.76,1.77,1.76,1.77,965
2020-01-30,1.76,1.77,1.76,1.77,1215
2020-01-31,1.76,1.76,1.76,1.76,20
2020-02-03,1.76,1.76,1.76,1.76,10
2020-02-04,1.76,1.76,1.6,1.76,2645
2020-02-05,1.75,1.75,1.75,1.75,1700
2020-02-06,1.75,1.76,1.75,1.76,2435
2020-02-07,1.76,1.78,1.76,1.78,175
2020-02-10,1.78,1.8,1.78,1.8,900
2020-02-11,1.75,1.75,1.75,1.75,20
2020-02-12,1.75,1.8,1.75,1.8,2798
2020-02-13,1.8,2,1.7,1.83,4780
2020-02-14,1.8,1.8,1.65,1.7,2315
2020-02-17,1.7,1.78,1.7,1.78,1420
2020-02-18,1.63,1.73,1.6,1.73,1120
2020-02-19,1.71,1.71,1.6,1.71,2460
2020-02-20,1.7,1.7,1.7,1.7,600
2020-02-21,1.7,2.44,1.7,2.44,12650
2020-02-24,2.1,2.28,2.1,2.28,1210
2020-02-25,2.22,2.4,2.14,2.14,2434
2020-02-26,2.1,2.16,1.75,2.16,4503
2020-02-27,2,2.12,1.94,2.12,1625
2020-03-02,2,2.14,1.9,2.14,1555
2020-03-05,2,2.38,1.96,2.38,3963
2020-03-06,2.36,2.58,2.22,2.58,7577
2020-03-09,2.4,2.58,2.32,2.58,5305
2020-03-10,2.4,2.88,2.4,2.88,5231
2020-03-11,2.7,2.8,2.7,2.7,330
2020-03-12,2.7,2.84,2.3,2.84,1705
2020-03-13,2.7,2.86,2.7,2.86,736
2020-03-16,2.86,2.86,2.86,2.86,10
2020-03-17,2.86,2.86,2.86,2.86,10
2020-03-18,2.86,2.86,2.86,2.86,10
2020-03-19,2.86,2.86,2.86,2.86,10
2020-03-20,2.86,2.86,2.86,2.86,10
2020-03-23,2.86,2.86,2.86,2.86,10
2020-03-24,2.84,2.84,2.5,2.74,1250
2020-03-25,2.74,2.84,2.74,2.84,205
2020-03-31,2.7,2.72,2.58,2.72,491
2020-04-21,2.64,2.84,2.64,2.8,6430
2020-04-24,2.66,2.66,2.48,2.62,13164
2020-04-27,2.6,2.82,2.5,2.82,3040
2020-05-05,2.78,2.78,2.78,2.78,20
2020-05-06,2.78,2.8,2.78,2.8,183
2020-05-07,2.8,2.8,2.8,2.8,10
2020-05-08,2.8,2.8,2.8,2.8,10
2020-05-11,2.8,2.8,2.8,2.8,10
2020-05-12,2.8,2.8,2.68,2.8,1370
2020-05-13,2.8,2.8,2.8,2.8,20
2020-05-14,2.8,2.8,2.66,2.72,482
2020-05-15,2.72,2.84,2.72,2.84,2101
2020-05-18,2.84,2.84,2.84,2.84,10
2020-05-19,2.84,2.84,2.82,2.84,620
2020-05-20,2.8,2.8,2.7,2.8,545
2020-05-21,2.76,2.8,2.7,2.8,2200
2020-05-22,2.8,2.8,2.66,2.8,1220
2020-05-25,2.64,2.64,2.48,2.64,2775
2020-05-26,2.66,2.66,2.66,2.66,20
2020-05-27,2.54,2.7,2.4,2.54,5975
2020-05-28,2.54,2.62,2.5,2.62,700
2020-05-29,2.6,2.74,2.6,2.74,1885
2020-06-02,2.6,2.74,2.6,2.74,495
2020-06-03,2.58,2.78,2.5,2.78,5525
2020-06-08,2.74,2.74,2.48,2.6,3162
2020-06-09,2.58,2.6,2.46,2.6,1515
2020-06-10,2.6,2.74,2.6,2.74,1505
2020-06-17,2.6,2.6,2.22,2.48,149184
2020-06-18,2.48,3,2.4,3,65388
2020-06-19,3.08,3.68,3.08,3.58,5086
