Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-11-18,22.7416,23.2193,22.5967,22.9804,57988378.767945
2016-11-21,23.1603,23.2243,22.7446,22.8875,42404417.716684
2016-11-22,22.9664,23.0743,22.7396,23.0513,31178619.275096
2016-11-23,23.1043,23.481,22.8695,23.1663,43253588.477971
2016-11-25,23.2762,23.444,23.0264,23.2123,18714475.745407
2016-11-28,23.1403,23.3552,23.0743,23.2003,23890006.819604
2016-11-29,23.1733,23.2812,22.8096,22.9874,41809516.215564
2016-11-30,23.0743,23.2123,22.7047,22.7286,41756351.598121
2016-12-01,22.7047,22.7216,20.8961,21.6035,102978676.08088
2016-12-02,21.2608,21.8903,20.983,21.8033,47932497.135668
2016-12-05,22.183,22.8296,21.9393,22.6497,59911906.33128
2016-12-06,22.7316,23.1063,22.5737,23.0224,48895725.035913
2016-12-07,22.8865,23.494,22.7047,23.437,46084184.035725
2016-12-08,23.466,23.8188,22.9394,23.0414,37358636.770795
2016-12-09,23.2223,23.2393,22.361,22.6347,38336389.768127
2016-12-12,22.149,22.173,21.5785,22.085,59641975.105469
2016-12-13,22.208,22.7516,22.198,22.4748,38195154.865522
2016-12-14,22.8126,23.9397,22.5737,23.7768,96762796.186528
2016-12-15,23.8877,24.6342,23.8138,24.3365,73853080.303225
2016-12-16,24.6102,24.8259,24.0905,24.7541,99778812.404536
2016-12-19,24.5772,25.2587,24.4053,25.0559,73735605.553232
2016-12-20,25.7822,26.162,25.6674,25.9272,84331686.894794
2016-12-21,26.0421,26.117,25.5645,26.087,57290243.396777
2016-12-22,26.3339,26.8354,26.2619,26.4028,72397346.13119
2016-12-23,26.224,27.0754,26.197,27.0504,62446025.382791
2016-12-27,27.6249,28.9349,27.4151,28.9249,119789013.0759
2016-12-28,29.4845,29.5643,26.7904,26.9304,229015041.09557
2016-12-29,25.8622,27.482,25.3386,27.468,218283541.29513
2016-12-30,27.448,27.5899,26.204,26.3139,123006656.33573
2017-01-03,25.7374,26.222,24.4992,25.1488,148895872.53911
2017-01-04,25.4885,26.0101,25.0319,25.7344,120262276.64637
2017-01-05,25.7702,26.084,24.9139,25.0818,97869902.008628
2017-01-06,25.3516,25.7004,24.9489,25.4135,72070491.41618
2017-01-09,25.5125,26.6227,25.5125,26.4427,91905801.472168
2017-01-10,26.5757,26.9154,26.0421,26.2469,77945823.133802
2017-01-11,26.13,26.18,25.6744,25.9242,52287419.269636
2017-01-12,25.6944,25.8122,25.0539,25.4975,63095647.690274
2017-01-13,25.5375,25.8872,25.4035,25.4945,45839899.403754
2017-01-17,25.3886,25.4385,24.7951,24.9289,55557991.967243
2017-01-18,24.7102,25.4455,24.4322,25.3756,55033764.460622
2017-01-19,25.4055,26.2439,25.3836,25.9242,63062350.251234
2017-01-20,26.15,26.3299,25.4185,25.6404,48657028.673347
2017-01-23,25.5875,26.104,25.5625,25.9072,36413353.5802
2017-01-24,26.0101,26.5187,25.8622,26.4557,42550436.273973
2017-01-25,26.8804,26.9424,26.212,26.5707,52210742.689196
2017-01-26,26.5987,27.1003,26.3039,27.0284,45904281.591354
2017-01-27,27.0953,27.5819,26.8304,27.552,45171948.093025
2017-01-30,27.3401,27.3621,26.6007,27.1183,49190592.312715
2017-01-31,26.8554,27.1253,26.6727,26.9124,35584659.462945
