Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-05,70.7335,71.8029,69.7625,70.5191,2196851.9486872
2020-01-12,70.6518,70.7335,66.883,70.2889,5120704.7575171
2020-01-19,70.7335,71.2432,69.5491,70.947,9456644.4390459
2020-01-26,70.5525,71.3916,69.8118,70.3557,4859743.8336955
2020-02-02,69.7625,70.3056,61.3059,62.2434,9296278.6942198
2020-02-09,62.0949,63.9051,59.0844,61.5036,7392886.442196
2020-02-16,60.993,63.0659,58.3929,62.5237,8700612.3888204
2020-02-23,63.1652,63.4288,59.595,60.3024,6524570.4888142
2020-03-01,59.3146,59.4966,45.28,48.2412,10199205.607382
2020-03-08,50.5943,51.6647,44.0295,44.7035,11020574.336754
2020-03-15,41.1342,46.3001,34.5518,37.5798,15290011.994618
2020-03-22,37.5877,44.1614,35.1036,43.2562,16169519.352284
2020-03-29,42.7791,43.9144,40.4014,42.729,9097419.025264
2020-04-05,43.0752,52.5196,41.7256,50.068,21758873.552937
2020-04-12,52.0258,55.8755,50.6102,53.3588,11230747.179391
2020-04-19,54.2963,54.3623,48.7025,50.3809,11867611.372371
2020-04-26,51.0065,51.3518,47.3194,50.0513,8408047.1851168
2020-05-03,50.5777,52.1576,47.9126,51.3026,7822857.6000584
2020-05-10,50.2983,51.9933,47.3194,51.6805,10875033.731607
2020-05-17,51.6805,53.4739,49.2614,49.9028,7123169.5020476
2020-05-24,50.6769,53.9678,50.5943,51.4169,6795377.6633844
2020-05-31,52.0592,57.175,51.7297,54.922,8448974.2211398
2020-06-07,55.777,60.3841,54.5433,59.7918,9027629.2278581
2020-06-14,60.0546,60.4667,53.0626,54.5934,7923656.4867382
2020-06-21,53.8359,55.3332,51.5811,54.494,15208468.605242
2020-06-28,54.5433,55.415,51.6312,52.4213,5691282.0148349
2020-07-05,52.4213,53.3096,50.8413,52.1901,5812102.2941892
2020-07-12,53.227,53.3755,49.3606,50.5285,7076161.962355
2020-07-19,51.365,53.589,47.4512,49.5918,11664526.191507
2020-07-26,49.5417,50.7631,47.3678,48.3546,4890742.6806836
2020-08-02,48.3546,49.308,43.7211,44.5576,5126358.4992785
2020-08-09,44.7747,46.4812,43.0858,44.8581,5836906.834332
2020-08-16,45.1595,48.2711,44.0893,46.4812,5756437.7469325
2020-08-23,46.4144,47.3343,43.7378,44.3397,5696512.4087832
2020-08-30,44.6912,46.1463,43.671,43.838,5737049.099914
2020-09-06,44.0726,44.6578,41.396,42.0489,6326638.3157392
2020-09-13,42.6509,42.6509,40.0253,41.4048,5785075.1780278
2020-09-20,41.9821,42.0489,39.7485,40.2335,5958334.8226437
2020-09-27,40.2423,40.6351,36.6712,37.1563,5905936.4265253
2020-10-04,37.6334,39.1386,36.5456,36.7468,5544919.7507602
2020-10-11,37.4656,39.4726,37.4656,38.3275,5437975.4926008
2020-10-18,38.4523,38.6202,33.4683,35.2082,8533196.537269
2020-10-25,35.9023,36.2951,34.2881,34.9234,5998406.0587865
2020-11-01,34.5218,34.7731,31.1098,31.8629,8960014.2091369
2020-11-08,32.2135,35.8601,31.7794,32.9999,10379391.313261
2020-11-15,33.5518,41.6385,33.05,38.2687,14105358.492192
2020-11-22,39.172,43.8714,38.9796,41.8477,14769167.863048
2020-11-29,43.3195,46.1631,42.316,44.758,8712863.3006683
2020-12-06,44.156,48.5715,42.3828,48.0865,17662523.696894
2020-12-13,48.2034,52.2683,47.5681,51.7999,13912092.249315
2020-12-20,51.8835,52.8535,47.5848,48.9064,9103061.3867078
2020-12-27,48.0031,48.5048,44.758,48.0197,4681588.3764675
2021-01-03,48.9731,51.0135,48.17,48.2711,3744039.1232082
2021-01-10,49.2912,54.3421,48.5883,53.5056,7946707.3199458
2021-01-17,53.5223,53.9405,49.5751,50.2279,7133277.5001
2021-01-24,50.01,52.4352,48.5883,49.9098,6308481.0190802
2021-01-31,50.177,50.3615,46.8326,46.8493,8749413.4665596
2021-02-07,47.25,50.6963,47.0329,49.1234,6051389.4032273
2021-02-14,49.692,51.6154,48.8062,49.9766,6923179.7675586
2021-02-21,50.7965,52.1005,49.3581,50.7464,7073808.5126846
2021-02-28,50.4283,51.3983,48.5883,49.2068,8291949.7375479
2021-03-07,50.177,54.2752,49.525,53.3219,9671664.1589298
2021-03-14,54.2752,59.2927,54.0239,57.8042,12662065.650726
2021-03-21,57.7875,58.7075,52.2683,53.2551,10129313.387118
2021-03-28,52.6866,54.2752,51.4318,52.72,5921682.2338943
